date,stock_id,sharpe_ratio
4/1/2014,2303.TW,0.056781039
5/16/2014,2303.TW,0.037588672
8/15/2014,2303.TW,0.045543972
11/15/2014,2303.TW,0.116680799
4/1/2015,2303.TW,-0.215013368
5/16/2015,2303.TW,-0.142844004
8/15/2015,2303.TW,0.070786897
11/15/2015,2303.TW,0.098690695
4/1/2016,2303.TW,-0.384304642
5/16/2016,2303.TW,0.110946622
8/15/2016,2303.TW,-0.076722807
11/15/2016,2303.TW,0.075431972
4/1/2017,2303.TW,0.003492442
5/16/2017,2303.TW,0.147835429
8/15/2017,2303.TW,0.113363071
11/15/2017,2303.TW,2.82E-05
4/1/2018,2303.TW,0.198469589
5/16/2018,2303.TW,0.090859047
8/15/2018,2303.TW,-0.302619446
11/15/2018,2303.TW,0.038257286
4/1/2019,2303.TW,0.164446736
5/16/2019,2303.TW,0.058469415
8/15/2019,2303.TW,0.148236216
11/15/2019,2303.TW,-0.025048708
4/1/2020,2303.TW,0.192365729
5/16/2020,2303.TW,0.309690011
8/15/2020,2303.TW,0.140214933
11/15/2020,2303.TW,0.172102474
4/1/2021,2303.TW,-0.055589635
5/16/2021,2303.TW,0.181476202
8/15/2021,2303.TW,0.072365672
11/15/2021,2303.TW,-0.084171774
4/1/2022,2303.TW,-0.094585213
5/16/2022,2303.TW,-0.042009119
8/15/2022,2303.TW,0.032680732
11/15/2022,2303.TW,0.095140645
4/1/2023,2303.TW,-0.374410496
5/16/2023,2303.TW,-0.009040125
8/15/2023,2303.TW,0.075268368
11/15/2023,2303.TW,0.045448584
4/1/2024,2303.TW,0.011391731
5/16/2024,2303.TW,
5/16/2013,2382.TW,0.059484104
8/15/2013,2382.TW,0.065041384
11/15/2013,2382.TW,0.153633895
4/1/2014,2382.TW,-0.020698548
5/16/2014,2382.TW,0.11863301
8/15/2014,2382.TW,-0.142841352
11/15/2014,2382.TW,0.053809641
4/1/2015,2382.TW,0.099491238
5/16/2015,2382.TW,-0.205100834
8/15/2015,2382.TW,-0.072545187
11/15/2015,2382.TW,0.045277563
4/1/2016,2382.TW,-0.059413027
5/16/2016,2382.TW,0.159303957
8/15/2016,2382.TW,-0.030415046
11/15/2016,2382.TW,0.062780374
4/1/2017,2382.TW,0.091648641
5/16/2017,2382.TW,0.134453167
8/15/2017,2382.TW,0.023180715
11/15/2017,2382.TW,-0.099615368
4/1/2018,2382.TW,-0.374652352
5/16/2018,2382.TW,0.06170565
8/15/2018,2382.TW,-0.056107943
11/15/2018,2382.TW,0.208644064
4/1/2019,2382.TW,-0.036924431
5/16/2019,2382.TW,0.061643208
8/15/2019,2382.TW,0.164833015
11/15/2019,2382.TW,-0.015681654
4/1/2020,2382.TW,0.225829237
5/16/2020,2382.TW,0.233375521
8/15/2020,2382.TW,-0.20376242
11/15/2020,2382.TW,0.199498333
4/1/2021,2382.TW,-0.215805604
5/16/2021,2382.TW,-0.161146719
8/15/2021,2382.TW,0.213803303
11/15/2021,2382.TW,0.031699359
4/1/2022,2382.TW,-0.175556146
5/16/2022,2382.TW,0.163874883
8/15/2022,2382.TW,-0.068863713
11/15/2022,2382.TW,0.242319839
4/1/2023,2382.TW,0.238187685
5/16/2023,2382.TW,0.334650877
8/15/2023,2382.TW,-0.059699867
11/15/2023,2382.TW,0.151462053
4/1/2024,2382.TW,0.067407161
5/16/2024,2382.TW,
5/16/2013,1303.TW,-0.047896042
8/15/2013,1303.TW,0.096690209
11/15/2013,1303.TW,0.008735911
4/1/2014,1303.TW,0.115560831
5/16/2014,1303.TW,0.151781176
8/15/2014,1303.TW,-0.141926059
11/15/2014,1303.TW,0.102733999
4/1/2015,1303.TW,0.140762989
5/16/2015,1303.TW,-0.167390595
8/15/2015,1303.TW,0.004846751
11/15/2015,1303.TW,0.0956606
4/1/2016,1303.TW,-0.316696803
5/16/2016,1303.TW,0.15057371
8/15/2016,1303.TW,0.037711282
11/15/2016,1303.TW,0.110869733
4/1/2017,1303.TW,-0.087312524
5/16/2017,1303.TW,0.223283328
8/15/2017,1303.TW,0.018709186
11/15/2017,1303.TW,0.108628094
4/1/2018,1303.TW,0.162177704
5/16/2018,1303.TW,0.045402263
8/15/2018,1303.TW,-0.093363281
11/15/2018,1303.TW,0.026789116
4/1/2019,1303.TW,-0.10600199
5/16/2019,1303.TW,-0.173241366
8/15/2019,1303.TW,0.147319263
11/15/2019,1303.TW,-0.124032155
4/1/2020,1303.TW,0.239560364
5/16/2020,1303.TW,0.067071601
8/15/2020,1303.TW,0.010298419
11/15/2020,1303.TW,0.172127676
4/1/2021,1303.TW,0.027909198
5/16/2021,1303.TW,0.167272692
8/15/2021,1303.TW,0.008306914
11/15/2021,1303.TW,0.095291514
4/1/2022,1303.TW,-0.506119636
5/16/2022,1303.TW,-0.045313914
8/15/2022,1303.TW,0.066337646
11/15/2022,1303.TW,0.051325082
4/1/2023,1303.TW,0.035991714
5/16/2023,1303.TW,-0.192164308
8/15/2023,1303.TW,-0.042614716
11/15/2023,1303.TW,-0.16220321
4/1/2024,1303.TW,-0.019075917
5/16/2024,1303.TW,
5/16/2013,1301.TW,0.055103943
8/15/2013,1301.TW,0.029283635
11/15/2013,1301.TW,0.010957098
4/1/2014,1301.TW,0.021496377
5/16/2014,1301.TW,0.026427298
8/15/2014,1301.TW,-0.174897215
11/15/2014,1301.TW,0.102417934
4/1/2015,1301.TW,0.147972858
5/16/2015,1301.TW,-0.120083181
8/15/2015,1301.TW,0.065673872
11/15/2015,1301.TW,0.078667076
4/1/2016,1301.TW,-0.132804257
5/16/2016,1301.TW,0.131922553
8/15/2016,1301.TW,0.098835072
11/15/2016,1301.TW,0.06795214
4/1/2017,1301.TW,-0.162529653
5/16/2017,1301.TW,0.184095476
8/15/2017,1301.TW,0.010701217
11/15/2017,1301.TW,0.096341494
4/1/2018,1301.TW,0.263143428
5/16/2018,1301.TW,0.053551777
8/15/2018,1301.TW,-0.071125303
11/15/2018,1301.TW,0.083680525
4/1/2019,1301.TW,0.070287453
5/16/2019,1301.TW,-0.147755401
8/15/2019,1301.TW,0.123976796
11/15/2019,1301.TW,-0.132801832
4/1/2020,1301.TW,0.227379159
5/16/2020,1301.TW,0.006156972
8/15/2020,1301.TW,0.088324574
11/15/2020,1301.TW,0.105122002
4/1/2021,1301.TW,-0.059576222
5/16/2021,1301.TW,0.103797036
8/15/2021,1301.TW,0.084911173
11/15/2021,1301.TW,0.000729806
4/1/2022,1301.TW,-0.181878886
5/16/2022,1301.TW,-0.002309307
8/15/2022,1301.TW,-0.076121892
11/15/2022,1301.TW,0.051808196
4/1/2023,1301.TW,0.095958891
5/16/2023,1301.TW,-0.15809072
8/15/2023,1301.TW,-0.123240737
11/15/2023,1301.TW,-0.167664736
4/1/2024,1301.TW,-0.100477337
5/16/2024,1301.TW,
5/16/2013,2002.TW,-0.006153226
8/15/2013,2002.TW,-0.001527033
11/15/2013,2002.TW,0.035706513
4/1/2014,2002.TW,-0.100256378
5/16/2014,2002.TW,0.108148055
8/15/2014,2002.TW,0.054480516
11/15/2014,2002.TW,0.015596848
4/1/2015,2002.TW,0.023700958
5/16/2015,2002.TW,-0.32317031
8/15/2015,2002.TW,-0.039869438
11/15/2015,2002.TW,0.136671566
4/1/2016,2002.TW,-0.156427871
5/16/2016,2002.TW,0.187672894
8/15/2016,2002.TW,0.112370394
11/15/2016,2002.TW,0.048571847
4/1/2017,2002.TW,-0.223736835
5/16/2017,2002.TW,0.088313654
8/15/2017,2002.TW,-0.02269913
11/15/2017,2002.TW,-0.047513648
4/1/2018,2002.TW,-0.029148493
5/16/2018,2002.TW,0.16938672
8/15/2018,2002.TW,-0.034961346
11/15/2018,2002.TW,0.082733115
4/1/2019,2002.TW,-0.242734209
5/16/2019,2002.TW,0.022615058
8/15/2019,2002.TW,0.02128006
11/15/2019,2002.TW,-0.149912107
4/1/2020,2002.TW,0.116928914
5/16/2020,2002.TW,0.097228304
8/15/2020,2002.TW,0.087675752
11/15/2020,2002.TW,0.157685005
4/1/2021,2002.TW,0.241981139
5/16/2021,2002.TW,0.108368346
8/15/2021,2002.TW,-0.072011582
11/15/2021,2002.TW,0.132351849
4/1/2022,2002.TW,-0.502567085
5/16/2022,2002.TW,-0.030042561
8/15/2022,2002.TW,-0.001171881
11/15/2022,2002.TW,0.059229739
4/1/2023,2002.TW,-0.291971606
5/16/2023,2002.TW,-0.077957746
8/15/2023,2002.TW,-0.147039537
11/15/2023,2002.TW,-0.047638889
4/1/2024,2002.TW,0.087343993
5/16/2024,2002.TW,
5/16/2013,2207.TW,0.005195092
8/15/2013,2207.TW,0.104678484
11/15/2013,2207.TW,0.090108437
4/1/2014,2207.TW,-0.061533059
5/16/2014,2207.TW,0.105669932
8/15/2014,2207.TW,0.123402641
11/15/2014,2207.TW,0.070545346
4/1/2015,2207.TW,0.131466304
5/16/2015,2207.TW,-0.11894918
8/15/2015,2207.TW,-0.069184604
11/15/2015,2207.TW,0.023794421
4/1/2016,2207.TW,-0.377935504
5/16/2016,2207.TW,0.192645322
8/15/2016,2207.TW,0.029897394
11/15/2016,2207.TW,0.022034522
4/1/2017,2207.TW,-0.139463327
5/16/2017,2207.TW,0.002031855
8/15/2017,2207.TW,-0.018782921
11/15/2017,2207.TW,-0.098282273
4/1/2018,2207.TW,-0.052912412
5/16/2018,2207.TW,-0.047528799
8/15/2018,2207.TW,-0.1200545
11/15/2018,2207.TW,0.318634273
4/1/2019,2207.TW,0.271875222
5/16/2019,2207.TW,0.00669278
8/15/2019,2207.TW,0.247266178
11/15/2019,2207.TW,-0.029885074
